IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 249368, duration in ms: 30192, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30280, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30720, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30720, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30719, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30719, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30720, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 298520, duration in ms: 30720, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 272920, duration in ms: 30671, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30279, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30280, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30718, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 298520, duration in ms: 30719, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30720, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 271896, duration in ms: 30238, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30280, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30280, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 271896, duration in ms: 30279, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 271896, duration in ms: 30496, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 271896, duration in ms: 30223, kbits/s: 64
