IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 0, duration in ms: 0, kbits/s: 0
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 0, duration in ms: 752, kbits/s: 0
IPERF report: type=5, remote: 192.168.1.3:5001, total bytes: 28184, duration in ms: 1752, kbits/s: 128
IPERF report: type=5, remote: 192.168.1.3:5001, total bytes: 8728, duration in ms: 2003, kbits/s: 32
IPERF report: type=5, remote: 192.168.1.3:5001, total bytes: 8728, duration in ms: 1751, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60440, duration in ms: 28354, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60952, duration in ms: 32079, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60440, duration in ms: 97, kbits/s: 4984
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60440, duration in ms: 820, kbits/s: 584
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60440, duration in ms: 74, kbits/s: 6528
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60952, duration in ms: 12526, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60952, duration in ms: 14296, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60440, duration in ms: 78, kbits/s: 6192
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 60440, duration in ms: 110, kbits/s: 4392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 6000152, duration in ms: 9605, kbits/s: 4992
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 3000344, duration in ms: 15902, kbits/s: 1504
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 3000344, duration in ms: 20684, kbits/s: 1160
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 3000856, duration in ms: 11010, kbits/s: 2176
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 3000344, duration in ms: 27995, kbits/s: 856
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 3000344, duration in ms: 20215, kbits/s: 1184
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 3000344, duration in ms: 5435, kbits/s: 4416
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600600, duration in ms: 29333, kbits/s: 160
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 8872, kbits/s: 536
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 11818, kbits/s: 400
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600600, duration in ms: 8852, kbits/s: 536
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 4307, kbits/s: 1112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 12365, kbits/s: 384
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 7428, kbits/s: 640
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 4363, kbits/s: 1096
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600600, duration in ms: 3055, kbits/s: 1568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 4419, kbits/s: 1080
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 11805, kbits/s: 400
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600600, duration in ms: 4699, kbits/s: 1016
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 600088, duration in ms: 8842, kbits/s: 536
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 6680, duration in ms: 11, kbits/s: 4856
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7536, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2282, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 23302, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1522, kbits/s: 152
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2783, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16278, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10273, kbits/s: 16
