IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 267800, duration in ms: 30504, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 302104, duration in ms: 30008, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30064, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 294936, duration in ms: 30008, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 254488, duration in ms: 30638, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 283160, duration in ms: 30504, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 267800, duration in ms: 30503, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30267, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 268824, duration in ms: 30210, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 296472, duration in ms: 30504, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30717, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 272920, duration in ms: 30644, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30064, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 271896, duration in ms: 30150, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 267800, duration in ms: 30271, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 297496, duration in ms: 30272, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 299544, duration in ms: 30275, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 267800, duration in ms: 30503, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 296472, duration in ms: 30505, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 272920, duration in ms: 30657, kbits/s: 64
