IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 398872, duration in ms: 30504, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30504, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 403992, duration in ms: 30222, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30065, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 376344, duration in ms: 30504, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30503, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30504, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 353816, duration in ms: 30063, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 358936, duration in ms: 30504, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30504, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30064, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 354840, duration in ms: 30172, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30504, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 362008, duration in ms: 30504, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 419352, duration in ms: 30064, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 415256, duration in ms: 30230, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 415256, duration in ms: 30219, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 419352, duration in ms: 30063, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 394776, duration in ms: 30064, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 375320, duration in ms: 30503, kbits/s: 96
