IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 960354, duration in ms: 30006, kbits/s: 256
IPERF report: type=5, remote: 192.168.1.3:5001, total bytes: 14940984, duration in ms: 22283, kbits/s: 5360
IPERF report: type=5, remote: 192.168.1.3:5001, total bytes: 12367524, duration in ms: 22787, kbits/s: 4336
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 19754364, duration in ms: 30000, kbits/s: 5264
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 18365124, duration in ms: 30000, kbits/s: 4896
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 18672144, duration in ms: 30000, kbits/s: 4976
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 16695384, duration in ms: 30000, kbits/s: 4448
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 19111764, duration in ms: 30000, kbits/s: 5096
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 20907984, duration in ms: 30000, kbits/s: 5568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 21696444, duration in ms: 30000, kbits/s: 5784
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 21590364, duration in ms: 30003, kbits/s: 5752
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 21650544, duration in ms: 30000, kbits/s: 5768
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 20768244, duration in ms: 30000, kbits/s: 5536
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 19433064, duration in ms: 30000, kbits/s: 5176
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 17089104, duration in ms: 30000, kbits/s: 4552
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 21441444, duration in ms: 30000, kbits/s: 5712
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 21022224, duration in ms: 30000, kbits/s: 5600
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 15180684, duration in ms: 30000, kbits/s: 4048
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 20620344, duration in ms: 30000, kbits/s: 5496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 20722344, duration in ms: 30000, kbits/s: 5520
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 21776004, duration in ms: 30000, kbits/s: 5800
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 23883324, duration in ms: 30000, kbits/s: 6368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 25606104, duration in ms: 30000, kbits/s: 6824
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 25716264, duration in ms: 30000, kbits/s: 6856
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 25109364, duration in ms: 30000, kbits/s: 6688
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 16046664, duration in ms: 30284, kbits/s: 4232
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 19434084, duration in ms: 30000, kbits/s: 5176
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 24374964, duration in ms: 30000, kbits/s: 6496
