IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14536, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9283, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 25798, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15032, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14780, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7277, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14532, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 28808, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4514, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 12026, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7269, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 13286, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 11790, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7521, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9269, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8768, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 22554, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1503, kbits/s: 160
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5771, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 6019, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3012, kbits/s: 80
