IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2275, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2785, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4018, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 31, kbits/s: 7800
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 15791, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15274, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13790, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 22293, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 24809, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2779, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5275, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1517, kbits/s: 152
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2760, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4260, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8015, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2768, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14811, kbits/s: 16
