IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 621, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 625, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 619, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 625, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 624, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 620, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 622, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 622, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 620, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 623, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 608, kbits/s: 400
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 612, kbits/s: 400
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 622, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 622, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 624, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 624, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 628, kbits/s: 384
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 626, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 628, kbits/s: 384
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 625, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 628, kbits/s: 384
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 622, kbits/s: 392
