IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 812, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 749, kbits/s: 328
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3953, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2386, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 750, kbits/s: 320
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2196, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3323, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 748, kbits/s: 328
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 815, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 749, kbits/s: 328
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2756, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 690, kbits/s: 344
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2076, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 936, kbits/s: 256
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2446, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10718, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 877, kbits/s: 280
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3255, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 817, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 817, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 748, kbits/s: 328
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1002, kbits/s: 240
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2262, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2191, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 812, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3825, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 749, kbits/s: 328
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 688, kbits/s: 352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 814, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 812, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 875, kbits/s: 280
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 817, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2004, kbits/s: 120
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 809, kbits/s: 304
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 689, kbits/s: 352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 694, kbits/s: 344
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 877, kbits/s: 280
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 817, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 633, kbits/s: 384
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2195, kbits/s: 112
