IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 17, kbits/s: 14224
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2772, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 15, kbits/s: 16120
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2766, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2264, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3276, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2765, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
