IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2760, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4270, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7269, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4763, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6276, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2767, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4271, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4268, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5772, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 18, kbits/s: 13664
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2769, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7276, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7278, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2765, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5773, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2769, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13286, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7034, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 6268, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2762, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12282, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2757, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6769, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 17, kbits/s: 14224
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7770, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 12281, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3014, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10778, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10278, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7768, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1511, kbits/s: 160
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8770, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7273, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4266, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2766, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5768, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7269, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8777, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7273, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5766, kbits/s: 40
