IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5764, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9024, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12282, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4702, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5014, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11400, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10218, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10463, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9275, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 11027, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 9849, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16356, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3326, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1819, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8279, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1820, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 11091, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10212, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 16229, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8838, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5703, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3325, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13290, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13858, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5703, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7086, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8140, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11843, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4706, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16223, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 24182, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7401, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3320, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 10215, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 9024, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1697, kbits/s: 136
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 23299, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8218, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7201, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7328, kbits/s: 32
