IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4272, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10276, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2760, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2521, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 768, kbits/s: 312
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 11289, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3022, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 768, kbits/s: 312
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2759, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16294, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11792, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2755, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 789, kbits/s: 304
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 17, kbits/s: 14464
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2770, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1263, kbits/s: 184
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2763, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2760, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2759, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7268, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14793, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2758, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3016, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1267, kbits/s: 184
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1518, kbits/s: 152
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4262, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1269, kbits/s: 184
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7029, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2774, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3519, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4266, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3278, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5772, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
