IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2131, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2255, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3951, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1387, kbits/s: 168
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2005, kbits/s: 120
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 941, kbits/s: 256
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2194, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 753, kbits/s: 320
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5962, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 690, kbits/s: 352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1820, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2197, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 753, kbits/s: 320
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3521, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 749, kbits/s: 328
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1820, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 813, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1883, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 694, kbits/s: 344
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13218, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1070, kbits/s: 224
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 870, kbits/s: 280
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2195, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2254, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 876, kbits/s: 280
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 819, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 876, kbits/s: 280
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2199, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 687, kbits/s: 352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2757, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 691, kbits/s: 352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4512, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4453, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 690, kbits/s: 344
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3018, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10650, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 815, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8209, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2195, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2632, kbits/s: 88
