IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10, kbits/s: 24592
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10, kbits/s: 24592
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10, kbits/s: 24592
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10, kbits/s: 24592
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10, kbits/s: 24592
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12, kbits/s: 20496
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 11, kbits/s: 22352
