IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2766, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1266, kbits/s: 184
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2772, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2771, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1270, kbits/s: 184
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 23, kbits/s: 10512
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5764, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 18, kbits/s: 13432
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4018, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2760, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2768, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2789, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 17, kbits/s: 14464
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2772, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2766, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4260, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2773, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2764, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 17, kbits/s: 14464
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 17, kbits/s: 14224
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 17, kbits/s: 14224
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13, kbits/s: 18912
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2766, kbits/s: 88
